mep_id;name;profile_url;email;x_url;x_handle;political_group;country;national_party;country_and_national_party
197413;HomeKarlo RESSLER;https://www.europarl.europa.eu/meps/en/197413;;https://twitter.com/KarloRessler;KarloRessler;Group of the European People's Party (Christian Democrats);Croatia;Hrvatska demokratska zajednica (Croatia);"Croatia
						 
							 - Hrvatska demokratska zajednica (Croatia)"
218347;HomeThijs REUTEN;https://www.europarl.europa.eu/meps/en/218347;;https://twitter.com/thijsreuten;thijsreuten;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Netherlands;GroenLinks-PvdA (Netherlands);"Netherlands
						 
							 - GroenLinks-PvdA (Netherlands)"
197832;HomeDiana RIBA I GINER;https://www.europarl.europa.eu/meps/en/197832;;https://twitter.com/DianaRibaGiner;DianaRibaGiner;Group of the Greens/European Free Alliance;Spain;Esquerra Republicana de Catalunya (Spain);"Spain
						 
							 - Esquerra Republicana de Catalunya (Spain)"
257121;HomeMatteo RICCI;https://www.europarl.europa.eu/meps/en/257121;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Italy;Partito Democratico (Italy);"Italy
						 
							 - Partito Democratico (Italy)"
256904;HomeChloé RIDEL;https://www.europarl.europa.eu/meps/en/256904;;https://x.com/chloeridel;chloeridel;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;France;Parti socialiste (France);"France
						 
							 - Parti socialiste (France)"
256964;HomeNela RIEHL;https://www.europarl.europa.eu/meps/en/256964;;;;Group of the Greens/European Free Alliance;Germany;Volt (Germany);"Germany
						 
							 - Volt (Germany)"
206158;HomeManuela RIPA;https://www.europarl.europa.eu/meps/en/206158;;https://twitter.com/RipaManuela;RipaManuela;Group of the European People's Party (Christian Democrats);Germany;Ökologisch-Demokratische Partei (Germany);"Germany
						 
							 - Ökologisch-Demokratische Partei (Germany)"
257066;HomeAndré RODRIGUES;https://www.europarl.europa.eu/meps/en/257066;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Portugal;Partido Socialista (Portugal);"Portugal
						 
							 - Partido Socialista (Portugal)"
204413;HomeMarcos ROS SEMPERE;https://www.europarl.europa.eu/meps/en/204413;;https://twitter.com/mrossemp?lang=it;mrossemp;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Spain;Partido Socialista Obrero Español (Spain);"Spain
						 
							 - Partido Socialista Obrero Español (Spain)"
96653;HomeKatarína ROTH NEVEĎALOVÁ;https://www.europarl.europa.eu/meps/en/96653;;;;Non-attached Members;Slovakia;SMER-Sociálna demokracia (Slovakia);"Slovakia
						 
							 - SMER-Sociálna demokracia (Slovakia)"
197690;HomeAndré ROUGÉ;https://www.europarl.europa.eu/meps/en/197690;;https://twitter.com/AndreRougeOff;AndreRougeOff;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
